agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,data_type_cd,parm_cd,stat_cd,ts_id,loc_web_ds,medium_grp_cd,parm_grp_cd,srs_id,access_cd,begin_date,end_date,count_nu,county_name,county_fips
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,30208,,0,,wat,PHY,0,0,1964-03-02,1966-09-01,31,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,70300,,0,,wat,PHY,1642222,0,1964-05-01,1966-05-02,5,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,70301,,0,,wat,PHY,1642222,0,1964-05-01,1966-09-01,6,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,70302,,0,,wat,PHY,1642222,0,1964-05-01,1966-09-01,7,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,70303,,0,,wat,PHY,1642222,0,1964-05-01,1966-09-01,7,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,71851,,0,,wat,NUT,197186,0,1964-05-01,1966-09-01,17,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,dv,00010,00011,10338,,wat,,1645597,0,1980-11-04,1983-05-27,132,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,dv,00060,00003,10339,,wat,,1645423,0,1908-12-22,1983-09-29,1137,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,dv,80154,00003,10340,,wat,,17164666,0,1980-11-01,1983-05-31,697,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,dv,80155,00003,10341,,wat,,17164591,0,1980-11-01,1983-05-31,697,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,pk,,,0,,wat,,0,0,1981-01-28,1983-02-28,3,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,,,0,,wat,ALL,0,0,1980-11-04,1983-03-01,72,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,00004,,0,,sed,PHY,1645241,0,1982-12-03,1983-01-10,2,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,00004,,0,,wat,PHY,1645241,0,1980-12-22,1981-04-02,2,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,00010,,0,,sed,PHY,1645597,0,1982-11-18,1983-03-01,22,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,00010,,0,,wat,PHY,1645597,0,1980-11-04,1982-05-05,50,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,00028,,0,,sed,INF,0,0,1982-11-18,1983-03-01,22,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,00028,,0,,wat,INF,0,0,1981-11-16,1982-05-05,20,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,00061,,0,,sed,PHY,1645415,0,1982-11-18,1983-03-01,22,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,00061,,0,,wat,PHY,1645415,0,1980-11-04,1982-05-05,50,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,00063,,0,,sed,INF,0,0,1982-12-03,1983-03-01,17,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,00063,,0,,wat,INF,0,0,1980-11-04,1982-03-02,36,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,30209,,0,,sed,PHY,1645415,0,1982-11-18,1983-03-01,22,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,30209,,0,,wat,PHY,1645415,0,1980-11-04,1982-05-05,50,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,70331,,0,,sed,SED,17164666,0,1982-12-17,1983-02-03,3,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,70331,,0,,wat,SED,17164666,0,1980-11-04,1982-05-05,13,Glenn,06021
