site_index,site_id,station_name,data_type,start_year,end_year,year_start,year_end,decade_start,decade_end,decade,closest_stream_order,distance_to_stream_km,longitude,latitude
769,,Unknown,Historical,1961,1962,1961,1962,1960,1960,1960,1,0.2594082286987752,-120.4667,34.6167
770,,Unknown,Historical,1962,1963,1962,1963,1960,1960,1960,1,0.2594082286987752,-120.4667,34.6167
771,,Unknown,Historical,1954,1957,1954,1957,1950,1950,1950,5,0.049593810264031764,-120.304167,34.609722
772,,Unknown,Historical,1928,1950,1928,1950,1920,1950,1920,2,0.06778477,-120.02361,34.58889
773,,Unknown,Historical,1947,1948,1947,1948,1940,1940,1940,5,0.081994727,-120.455556,34.669444
774,,Unknown,Historical,1947,1948,1947,1948,1940,1940,1940,5,1.2860067009266427,-120.591667,34.690278
775,,Unknown,Historical,1966,1967,1966,1967,1960,1960,1960,5,0.17731596710353056,-119.995833,34.591667
776,,Unknown,Historical,1930,1967,1930,1967,1930,1960,1930,3,0.13263605574871645,-119.506944,34.492222
777,,Unknown,Historical,1920,1959,1920,1959,1920,1950,1920,5,0.11303192063903253,-119.686389,34.524444
778,,Unknown,Historical,1968,1970,1968,1970,1960,1970,1960,1,0.3331713078057353,-120.181,34.695
779,,Unknown,Historical,1937,1938,1937,1938,1930,1930,1930,2,0.067643195,-120.023611,34.588889
780,,Unknown,Historical,1962,1963,1962,1963,1960,1960,1960,1,1.7028506997609179,-120.5,34.752778
781,,Unknown,Historical,1950,1959,1950,1959,1950,1950,1950,2,0.2235533018186033,-119.8805556,34.54166667
782,,Unknown,Historical,1920,1962,1920,1962,1920,1960,1920,5,0.09934663,-119.686111,34.526944
783,,Unknown,Historical,1916,1916,1916,1916,1910,1910,1910,2,1.3463715183840042,-120.4578,34.6426
784,,Unknown,Historical,1941,1942,1941,1942,1940,1940,1940,2,0.067627466,-120.0236111,34.58888889
786,,Unknown,Historical,1929,1939,1929,1939,1920,1930,1920,1,0.24130164755018516,-120.0596,34.6953
787,,Unknown,Historical,1908,1939,1908,1939,1900,1930,1900,5,1.7046565583446478,-120.4489,34.6425
788,,Unknown,Historical,1920,1930,1920,1930,1920,1930,1920,2,0.4908999137280851,-120.0445,34.6328
789,,Unknown,Historical,1920,1960,1920,1960,1920,1960,1920,5,0.11303192063903253,-119.686389,34.524444
790,,Unknown,Historical,1920,1965,1920,1965,1920,1960,1920,5,0.11303192063903253,-119.686389,34.524444
791,,Unknown,Historical,1913,1915,1913,1915,1910,1910,1910,2,1.6264278097698548,-120.4505,34.6397
792,,Unknown,Historical,1943,1945,1943,1945,1940,1940,1940,5,0.09934663,-119.686111,34.526944
794,,Unknown,Historical,1962,1963,1962,1963,1960,1960,1960,5,0.097818963,-120.1425,34.584722
